File,Description
Config342,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.4s, m2=0.2s, pDistribution = uniform(8, 10), vDistribution = uniform(18, 20)"
Config351,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.4s, m2=0.2s, pDistribution = uniform(8, 10), vDistribution = uniform(20, 22)"
Config352,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.4s, m2=0.2s, pDistribution = uniform(8, 10), vDistribution = uniform(20, 22)"
Config361,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.3s, m2=0.4s, pDistribution = uniform(1, 3), vDistribution = uniform(14, 16)"
Config362,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.3s, m2=0.4s, pDistribution = uniform(1, 3), vDistribution = uniform(14, 16)"
Config371,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.3s, m2=0.4s, pDistribution = uniform(1, 3), vDistribution = uniform(18, 20)"
Config372,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.3s, m2=0.4s, pDistribution = uniform(1, 3), vDistribution = uniform(18, 20)"
Config381,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.3s, m2=0.4s, pDistribution = uniform(1, 3), vDistribution = uniform(20, 22)"
Config382,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.3s, m2=0.4s, pDistribution = uniform(1, 3), vDistribution = uniform(20, 22)"
Config391,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.3s, m2=0.4s, pDistribution = uniform(4, 6), vDistribution = uniform(14, 16)"
Config392,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.3s, m2=0.4s, pDistribution = uniform(4, 6), vDistribution = uniform(14, 16)"
Config401,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.3s, m2=0.4s, pDistribution = uniform(4, 6), vDistribution = uniform(18, 20)"
Config402,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.3s, m2=0.4s, pDistribution = uniform(4, 6), vDistribution = uniform(18, 20)"
Config411,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.3s, m2=0.4s, pDistribution = uniform(4, 6), vDistribution = uniform(20, 22)"
Config412,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.3s, m2=0.4s, pDistribution = uniform(4, 6), vDistribution = uniform(20, 22)"
Config421,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.3s, m2=0.4s, pDistribution = uniform(8, 10), vDistribution = uniform(14, 16)"
Config422,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.3s, m2=0.4s, pDistribution = uniform(8, 10), vDistribution = uniform(14, 16)"
Config431,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.3s, m2=0.4s, pDistribution = uniform(8, 10), vDistribution = uniform(18, 20)"
Config432,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.3s, m2=0.4s, pDistribution = uniform(8, 10), vDistribution = uniform(18, 20)"
Config441,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.3s, m2=0.4s, pDistribution = uniform(8, 10), vDistribution = uniform(20, 22)"
Config442,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.3s, m2=0.4s, pDistribution = uniform(8, 10), vDistribution = uniform(20, 22)"
Config451,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.3s, m2=0.3s, pDistribution = uniform(1, 3), vDistribution = uniform(14, 16)"
Config452,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.3s, m2=0.3s, pDistribution = uniform(1, 3), vDistribution = uniform(14, 16)"
Config461,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.3s, m2=0.3s, pDistribution = uniform(1, 3), vDistribution = uniform(18, 20)"
Config462,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.3s, m2=0.3s, pDistribution = uniform(1, 3), vDistribution = uniform(18, 20)"
Config471,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.3s, m2=0.3s, pDistribution = uniform(1, 3), vDistribution = uniform(20, 22)"
Config472,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.3s, m2=0.3s, pDistribution = uniform(1, 3), vDistribution = uniform(20, 22)"
Config481,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.3s, m2=0.3s, pDistribution = uniform(4, 6), vDistribution = uniform(14, 16)"
Config482,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.3s, m2=0.3s, pDistribution = uniform(4, 6), vDistribution = uniform(14, 16)"
Config491,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.3s, m2=0.3s, pDistribution = uniform(4, 6), vDistribution = uniform(18, 20)"
Config492,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.3s, m2=0.3s, pDistribution = uniform(4, 6), vDistribution = uniform(18, 20)"
Config501,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.3s, m2=0.3s, pDistribution = uniform(4, 6), vDistribution = uniform(20, 22)"
Config502,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.3s, m2=0.3s, pDistribution = uniform(4, 6), vDistribution = uniform(20, 22)"
Config511,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.3s, m2=0.3s, pDistribution = uniform(8, 10), vDistribution = uniform(14, 16)"
Config512,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.3s, m2=0.3s, pDistribution = uniform(8, 10), vDistribution = uniform(14, 16)"
Config521,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.3s, m2=0.3s, pDistribution = uniform(8, 10), vDistribution = uniform(18, 20)"
Config522,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.3s, m2=0.3s, pDistribution = uniform(8, 10), vDistribution = uniform(18, 20)"
Config531,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.3s, m2=0.3s, pDistribution = uniform(8, 10), vDistribution = uniform(20, 22)"
Config532,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.3s, m2=0.3s, pDistribution = uniform(8, 10), vDistribution = uniform(20, 22)"
Config541,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.3s, m2=0.25s, pDistribution = uniform(1, 3), vDistribution = uniform(14, 16)"
Config542,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.3s, m2=0.25s, pDistribution = uniform(1, 3), vDistribution = uniform(14, 16)"
Config551,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.3s, m2=0.25s, pDistribution = uniform(1, 3), vDistribution = uniform(18, 20)"
Config552,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.3s, m2=0.25s, pDistribution = uniform(1, 3), vDistribution = uniform(18, 20)"
Config561,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.3s, m2=0.25s, pDistribution = uniform(1, 3), vDistribution = uniform(20, 22)"
Config562,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.3s, m2=0.25s, pDistribution = uniform(1, 3), vDistribution = uniform(20, 22)"
Config571,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.3s, m2=0.25s, pDistribution = uniform(4, 6), vDistribution = uniform(14, 16)"
Config572,"Configuration with Strategy=1, N=1, lambda=2.0s, m1=0.3s, m2=0.25s, pDistribution = uniform(4, 6), vDistribution = uniform(14, 16)"
Config581,"Configuration with Strategy=0, N=1, lambda=2.0s, m1=0.3s, m2=0.25s, pDistribution = uniform(4, 6), vDistribution = uniform(18, 20)"
